Materiál;Oznaèení;Sklad;Volnì použitel.;Množství ATP;Akt. VC (PR00);Aktuální DMOC;VKP0 MO;Kategorie RP;Skl.místo;Znaèka;Skup.mater.;Kód EAN/UPC;Oznaèení;Platí od;St.mat.zHleïOdb;VýmìnMod;Úroveò sort.;Relev.B2B;Jazyk;Závod;Servis 1;Servis 3;Prodej do;Mìna podmínky;Servis 2;Tøída ocenìní;Garant CZ;Garant SK
41015564;D-SO01-0021 ÈISTÍCÍ ROZTOK 110ml ECOVACS;0;17;17;660;799;399;BEZ POPLATKU;0001:1B404-0325;ECOVACS;41VYPRPR;6,94376E+12;Aktivní;;;;W;@IZ@;CS;1000;;;31.12.9999;CZK;;3601;LRAMBOUSEK;LKRIZANOVA
41015564;D-SO01-0021 ÈISTÍCÍ ROZTOK 110ml ECOVACS;1;17;17;660;799;399;BEZ POPLATKU;1B404-0325;ECOVACS;41VYPRPR;6,94376E+12;Aktivní;;;;W;@IZ@;CS;1000;;;31.12.9999;CZK;;3601;LRAMBOUSEK;LKRIZANOVA
41015565;D-SO01-0019 ÈISTÍCÍ ROZTOK 1L    ECOVACS;0;17;17;1487;1799;1299;BEZ POPLATKU;0001:1B404-0111;ECOVACS;41VYPRPR;6,94376E+12;Aktivní;;;;W;@IZ@;CS;1000;;;31.12.9999;CZK;;3601;LRAMBOUSEK;LKRIZANOVA
41015565;D-SO01-0019 ÈISTÍCÍ ROZTOK 1L    ECOVACS;1;17;17;1487;1799;1299;BEZ POPLATKU;1B404-0111;ECOVACS;41VYPRPR;6,94376E+12;Aktivní;;;;W;@IZ@;CS;1000;;;31.12.9999;CZK;;3601;LRAMBOUSEK;LKRIZANOVA
41015567;W-CC02-0005 ÈISTICÍ UTÌRKY       ECOVACS;0;49;49;826;999;499;BEZ POPLATKU;0001:1B404-0112;ECOVACS;41VYPRPR;6,97014E+12;Aktivní;;;;W;@IZ@;CS;1000;;;31.12.9999;CZK;;3601;LRAMBOUSEK;LKRIZANOVA
41015567;W-CC02-0005 ÈISTICÍ UTÌRKY       ECOVACS;1;49;49;826;999;499;BEZ POPLATKU;1B404-0112;ECOVACS;41VYPRPR;6,97014E+12;Aktivní;;;;W;@IZ@;CS;1000;;;31.12.9999;CZK;;3601;LRAMBOUSEK;LKRIZANOVA
41015568;W-SO01-0004 ÈISTÍCÍ ROZTOK 230ml ECOVACS;0;48;48;660;799;399;BEZ POPLATKU;0001:1B403-0112;ECOVACS;41VYPRPR;6,97014E+12;Aktivní;;;;1;@IZ@;CS;1000;;;31.12.9999;CZK;;3601;LRAMBOUSEK;LKRIZANOVA
41015568;W-SO01-0004 ÈISTÍCÍ ROZTOK 230ml ECOVACS;1;48;48;660;799;399;BEZ POPLATKU;1B403-0112;ECOVACS;41VYPRPR;6,97014E+12;Aktivní;;;;1;@IZ@;CS;1000;;;31.12.9999;CZK;;3601;LRAMBOUSEK;LKRIZANOVA
41015700;DEEBOT T10 PLUS                  ECOVACS;0;15;5;24793;29999;24999;AN5.1.   (16,4);0001:1B403-0602;ECOVACS;41VYROMO;6,94376E+12;Aktivní;;;;E;@IZ@;CS;1000;;;31.12.9999;CZK;;3601;LRAMBOUSEK;LKRIZANOVA
41015700;DEEBOT T10 PLUS                  ECOVACS;1;15;5;24793;29999;24999;AN5.1.   (16,4);1B403-0602;ECOVACS;41VYROMO;6,94376E+12;Aktivní;;;;E;@IZ@;CS;1000;;;31.12.9999;CZK;;3601;LRAMBOUSEK;LKRIZANOVA
41015881;WINBOT 920                       ECOVACS;0;58;8;12396;14999;9999;AN5.3.   (3,69);0001:1B403-0503;ECOVACS;41VYCORC;6,97014E+12;Aktivní;;;;W;@IZ@;CS;1000;;;31.12.9999;CZK;;3601;LRAMBOUSEK;LKRIZANOVA
41015881;WINBOT 920                       ECOVACS;1;58;8;12396;14999;9999;AN5.3.   (3,69);1B403-0503;ECOVACS;41VYCORC;6,97014E+12;Aktivní;;;;W;@IZ@;CS;1000;;;31.12.9999;CZK;;3601;LRAMBOUSEK;LKRIZANOVA
